Species,ndhA,ndhB,ndhC,ndhD,ndhE,ndhF,ndhG,ndhH,ndhI,ndhJ,ndhK,cemA,ccsA,petA,petB,petD,petG,petL,petN,psaA,psaB,psaC,psaI,psaJ,psbA,psbB,psbC,psbD,psbE,psbF,psbH,psbI,psbJ,psbK,psbL,psbM,psbN,psbT,psbZ,rbcL,ycf3,ycf4,rpoA,rpoB,rpoC1,rpoC2,atpA,atpB,atpE,atpF,atpH,atpI,infA,rpl2,rpl14,rpl16,rpl20,rpl22,rpl23,rpl32,rpl33,rpl36,rps2,rps3,rps4,rps7,rps8,rps11,rps12,rps14,rps15,rps16,rps18,rps19,matK,clpP,accD,ycf1,ycf2,trnA-ugc,trnC-gca,trnD-guc,trnE-uuc,trnF-gaa,trnfM-cau,trnG-gcc,trnG-ucc,trnH-gug,trnI-cau,trnI-gau,trnI-gca,trnK-uuu,trnL-caa,trnL-uaa,trnL-uag,trnM-cau,trnN-guu,trnP-ugg,trnQ-uug,trnR-acg,trnR-ucu,trnS-gcu,trnS-gga,trnS-uga,trnT-ggu,trnT-ugu,trnV-gac,trnV-uac,trnW-cca,trnY-gua,rrn16,rrn23,rrn4.5,rrn5,photo
32_Bletia_roezlii_JA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baco1_Basiphyllaea_corallicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49_Hexalectris_warnockii_TX,2,1,1,2,2,2,2,2,2,2,0,1,1,1,2,1,2,0,0,1,1,2,0,2,1,0,1,1,0,0,2,0,2,0,0,0,2,2,0,1,1,1,1,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
69_Hexalectris_warnockii_TX,2,1,1,2,2,2,2,2,2,2,0,1,1,1,2,1,2,0,1,1,1,2,0,2,1,0,1,1,0,0,2,0,1,0,0,0,2,2,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
64_Hexalectris_grandiflora_TX,1,1,2,1,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36_Hexalectris_brevicaulis_JA,1,1,2,1,1,2,2,1,1,2,2,0,0,2,1,1,2,0,0,1,1,0,2,0,1,2,1,1,2,2,2,0,2,0,2,0,2,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41_Hex_brevicaulis_JA,1,1,2,1,1,2,2,1,1,2,2,2,0,2,1,1,2,0,0,1,1,0,2,0,1,2,1,1,2,2,2,0,2,0,2,0,2,2,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48_Hexalectris_nitida_TX,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,2,2,0,2,1,1,0,2,2,2,0,2,0,2,0,2,2,0,0,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79_Hex_nitida_TX,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,2,2,0,2,1,1,0,2,2,2,0,2,0,2,0,2,2,0,0,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
270_Hexalectris_nitida_TX,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,2,2,0,2,1,1,0,2,2,2,0,2,0,2,0,2,2,0,0,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
