#OG	member_id	member_annotation
19	ref|CUX96665.1|ref|CUX96665.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Doolittlea endobia]
19	ref|CUX95770.1|ref|CUX95770.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Gullanella endobia]
19	ref|ATW22163.1|ref|ATW22163.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Hamiltonella defensa]
19	ref|CUX97378.1|ref|CUX97378.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Hoaglandella endobia]
19	ref|WP_067569160.1|ref|WP_067569160.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Mikella endobia]
19	ref|AEI75052.1|ref|AEI75052.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Moranella endobia PCIT]
19	ref|AGJ61302.1|ref|AGJ61302.1|	DNA-directed RNA polymerase subunit beta' [Candidatus Moranella endobia PCVAL]
19	ref|AHF74818.1|ref|AHF74818.1|	DNA-directed RNA polymerase beta' subunit [Candidatus Sodalis pierantonius str. SOPE]
19	ref|BBI91347.1|ref|BBI91347.1|	DNA-directed RNA polymerase subunit beta' [Serratia symbiotica]
19	ref|KYP97166.1|ref|KYP97166.1|	DNA-directed RNA polymerase subunit beta', partial [Sodalis-like endosymbiont of Proechinophthirus fluctus]
19	ref|SNC58775.1|ref|SNC58775.1|	DNA-directed RNA polymerase subunit beta' [Sodalis endosymbiont of Henestaris halophilus]
19	ref|BAE73410.1|ref|BAE73410.1|	RNA polymerase beta prime subunit [Sodalis glossinidius str. morsitans]
19	fig|1173031.7.peg.5169|fig|1173031.7.peg.5169|	unlabeled protein [Sodalis melophagi]
19	ref|WP_025424013.1|ref|WP_025424013.1|	DNA-directed RNA polymerase subunit beta' [Sodalis praecaptivus]
19	ref|AFP84677.1|ref|AFP84677.1|	DNA-directed RNA polymerase, beta'' subunit, predominant form [secondary endosymbiont of Ctenarytaina eucalypti]
19	ref|AFP85625.1|ref|AFP85625.1|	DNA-directed RNA polymerase, beta'' subunit, predominant form [secondary endosymbiont of Heteropsylla cubana]
21	ref|CUX96666.1|ref|CUX96666.1|	DNA-directed RNA polymerase subunit beta [Candidatus Doolittlea endobia]
21	ref|CUX95768.1|ref|CUX95768.1|	DNA-directed RNA polymerase subunit beta [Candidatus Gullanella endobia]
21	ref|ATW22164.1|ref|ATW22164.1|	DNA-directed RNA polymerase subunit beta [Candidatus Hamiltonella defensa]
21	ref|CUX97377.1|ref|CUX97377.1|	DNA-directed RNA polymerase subunit beta [Candidatus Hoaglandella endobia]
21	ref|WP_067569163.1|ref|WP_067569163.1|	DNA-directed RNA polymerase subunit beta [Candidatus Mikella endobia]
21	ref|AEI75053.1|ref|AEI75053.1|	DNA-directed RNA polymerase subunit beta [Candidatus Moranella endobia PCIT]
21	ref|AGJ61303.1|ref|AGJ61303.1|	DNA-directed RNA polymerase subunit beta [Candidatus Moranella endobia PCVAL]
21	ref|AHF74819.1|ref|AHF74819.1|	DNA-directed RNA polymerase beta subunit [Candidatus Sodalis pierantonius str. SOPE]
21	ref|BBI91348.1|ref|BBI91348.1|	DNA-directed RNA polymerase subunit beta [Serratia symbiotica]
21	ref|KYP97155.1|ref|KYP97155.1|	DNA-directed RNA polymerase subunit beta [Sodalis-like endosymbiont of Proechinophthirus fluctus]
21	ref|SNC58774.1|ref|SNC58774.1|	DNA-directed RNA polymerase subunit beta [Sodalis endosymbiont of Henestaris halophilus]
21	ref|BAE73409.1|ref|BAE73409.1|	RNA polymerase beta subunit [Sodalis glossinidius str. morsitans]
21	fig|1173031.7.peg.5168|fig|1173031.7.peg.5168|	unlabeled protein [Sodalis melophagi]
21	ref|WP_025424014.1|ref|WP_025424014.1|	DNA-directed RNA polymerase subunit beta [Sodalis praecaptivus]
21	ref|AFP84676.1|ref|AFP84676.1|	DNA-directed RNA polymerase, beta subunit [secondary endosymbiont of Ctenarytaina eucalypti]
21	ref|AFP85626.1|ref|AFP85626.1|	DNA-directed RNA polymerase, beta subunit [secondary endosymbiont of Heteropsylla cubana]
22	ref|CUX96829.1|ref|CUX96829.1|	50S ribosomal protein L3 [Candidatus Doolittlea endobia]
