#OG	member_id	member_annotation
10	fig|634115.3.peg.1137|fig|634115.3.peg.1137|	unlabeled protein [Arsenophenous melophagi]
10	fig|634115.4.peg.1137|fig|634115.4.peg.1137|	unlabeled protein [Arsenophenous melophagi]
10	ref|BAB13219.1|ref|BAB13219.1|	elongation factor EF-Tu [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
10	ref|AAO27175.1|ref|AAO27175.1|	elongation factor Tu [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
10	ref|CUX96674.1|ref|CUX96674.1|	Elongation factor Tu [Candidatus Doolittlea endobia]
10	ref|CUX96188.1|ref|CUX96188.1|	Elongation factor Tu [Candidatus Gullanella endobia]
10	ref|CUX95755.1|ref|CUX95755.1|	Elongation factor Tu [Candidatus Gullanella endobia]
10	ref|ATW22171.1|ref|ATW22171.1|	translation elongation factor Tu [Candidatus Hamiltonella defensa]
10	ref|CUX97249.1|ref|CUX97249.1|	Elongation factor Tu [Candidatus Hoaglandella endobia]
10	ref|WP_067569158.1|ref|WP_067569158.1|	elongation factor Tu [Candidatus Mikella endobia]
10	ref|AEI75060.1|ref|AEI75060.1|	translation elongation factor Tu [Candidatus Moranella endobia PCIT]
10	ref|AGJ61310.1|ref|AGJ61310.1|	Elongation factor Tu [Candidatus Moranella endobia PCVAL]
10	ref|AHF72955.1|ref|AHF72955.1|	elongation factor Tu [Candidatus Sodalis pierantonius str. SOPE]
10	ref|AHF74826.1|ref|AHF74826.1|	elongation factor Tu [Candidatus Sodalis pierantonius str. SOPE]
10	ref|BBI91555.1|ref|BBI91555.1|	elongation factor Tu [Serratia symbiotica]
10	ref|BBI91355.1|ref|BBI91355.1|	elongation factor Tu [Serratia symbiotica]
10	ref|KYP97620.1|ref|KYP97620.1|	elongation factor Tu, partial [Sodalis-like endosymbiont of Proechinophthirus fluctus]
10	ref|KYP97162.1|ref|KYP97162.1|	elongation factor Tu, partial [Sodalis-like endosymbiont of Proechinophthirus fluctus]
10	ref|SNC58369.1|ref|SNC58369.1|	Elongation factor Tu [Sodalis endosymbiont of Henestaris halophilus]
10	ref|BAE75558.1|ref|BAE75558.1|	elongation factor Tu [Sodalis glossinidius str. morsitans]
10	ref|BAE73402.1|ref|BAE73402.1|	elongation factor Tu [Sodalis glossinidius str. morsitans]
10	fig|1173031.7.peg.3942|fig|1173031.7.peg.3942|	unlabeled protein [Sodalis melophagi]
10	ref|WP_025420673.1|ref|WP_025420673.1|	elongation factor Tu [Sodalis praecaptivus]
10	ref|AFP84800.1|ref|AFP84800.1|	translation elongation factor TU [secondary endosymbiont of Ctenarytaina eucalypti]
10	ref|AFP85742.1|ref|AFP85742.1|	translation elongation factor TU [secondary endosymbiont of Heteropsylla cubana]
13	fig|634115.3.peg.970|fig|634115.3.peg.970|	unlabeled protein [Arsenophenous melophagi]
13	fig|634115.4.peg.970|fig|634115.4.peg.970|	unlabeled protein [Arsenophenous melophagi]
13	ref|BAB12811.1|ref|BAB12811.1|	3-oxoacyl-[acyl-carrier-protein] synthase I [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
13	ref|AAO26821.1|ref|AAO26821.1|	3-oxoacyl-[acyl-carrier-protein] synthase I [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
13	ref|CUX96865.1|ref|CUX96865.1|	3-oxoacyl-[acyl-carrier-protein] synthase 1 [Candidatus Doolittlea endobia]
13	ref|CUX96038.1|ref|CUX96038.1|	3-oxoacyl-[acyl-carrier-protein] synthase 1 [Candidatus Gullanella endobia]
13	ref|ATW21961.1|ref|ATW21961.1|	beta-ketoacyl-[acyl-carrier-protein] synthase II [Candidatus Hamiltonella defensa]
13	ref|CUX97192.1|ref|CUX97192.1|	3-oxoacyl-[acyl-carrier-protein] synthase 1 [Candidatus Hoaglandella endobia]
13	ref|WP_067569271.1|ref|WP_067569271.1|	beta-ketoacyl-[acyl-carrier-protein] synthase I [Candidatus Mikella endobia]
13	ref|AEI74959.1|ref|AEI74959.1|	putative 3-oxoacyl-(acyl-carrier-protein) synthase II [Candidatus Moranella endobia PCIT]
13	ref|AGJ61207.1|ref|AGJ61207.1|	3-oxoacyl-[acyl-carrier-protein] synthase 1 [Candidatus Moranella endobia PCVAL]
13	ref|AHF74032.1|ref|AHF74032.1|	3-oxoacyl-(acyl carrier protein) synthase II [Candidatus Sodalis pierantonius str. SOPE]
13	ref|AHF74425.1|ref|AHF74425.1|	3-oxoacyl-[acyl-carrier-protein] synthase KASI [Candidatus Sodalis pierantonius str. SOPE]
13	ref|BBI92686.1|ref|BBI92686.1|	3-oxoacyl-[acyl-carrier-protein] synthase I [Serratia symbiotica]
13	ref|BBI92164.1|ref|BBI92164.1|	3-oxoacyl-[acyl-carrier-protein] synthase 2 [Serratia symbiotica]
13	ref|KYP97748.1|ref|KYP97748.1|	hypothetical protein BG74_00270, partial [Sodalis-like endosymbiont of Proechinophthirus fluctus]
13	ref|KYP97747.1|ref|KYP97747.1|	hypothetical protein BG74_00265, partial [Sodalis-like endosymbiont of Proechinophthirus fluctus]
13	ref|SNC58662.1|ref|SNC58662.1|	3-oxoacyl-[acyl-carrier-protein] synthase 2 [Sodalis endosymbiont of Henestaris halophilus]
13	ref|SNC58858.1|ref|SNC58858.1|	3-oxoacyl-[acyl-carrier-protein] synthase 1 [Sodalis endosymbiont of Henestaris halophilus]
13	ref|BAE74337.1|ref|BAE74337.1|	3-oxoacyl-(acyl-carrier-protein) synthase II [Sodalis glossinidius str. morsitans]
13	ref|BAE74898.1|ref|BAE74898.1|	3-oxoacyl-(acyl-carrier-protein) synthase I [Sodalis glossinidius str. morsitans]
13	fig|1173031.7.peg.5313|fig|1173031.7.peg.5313|	unlabeled protein [Sodalis melophagi]
13	fig|1173031.7.peg.275|fig|1173031.7.peg.275|	unlabeled protein [Sodalis melophagi]
13	ref|WP_025421505.1|ref|WP_025421505.1|	beta-ketoacyl-[acyl-carrier-protein] synthase I [Sodalis praecaptivus]
13	ref|WP_025422667.1|ref|WP_025422667.1|	beta-ketoacyl-[acyl-carrier-protein] synthase II [Sodalis praecaptivus]
13	ref|AFP85233.1|ref|AFP85233.1|	3-oxoacyl-(acyl-carrier-protein) synthase [secondary endosymbiont of Ctenarytaina eucalypti]
13	ref|AFP85568.1|ref|AFP85568.1|	3-oxoacyl-(acyl-carrier-protein) synthase [secondary endosymbiont of Heteropsylla cubana]
15	fig|634115.4.peg.176|fig|634115.4.peg.176|	unlabeled protein [Arsenophenous melophagi]
15	fig|634115.3.peg.176|fig|634115.3.peg.176|	unlabeled protein [Arsenophenous melophagi]
15	ref|BAB12745.1|ref|BAB12745.1|	10 kD chaperonin [Buchnera aphidicola str. APS (Acyrthosiphon pisum)]
15	ref|AAO26763.1|ref|AAO26763.1|	chaperonin GroES [Buchnera aphidicola str. Bp (Baizongia pistaciae)]
15	ref|CUX96687.1|ref|CUX96687.1|	10 kDa chaperonin [Candidatus Doolittlea endobia]
15	ref|CUX96144.1|ref|CUX96144.1|	10 kDa chaperonin [Candidatus Gullanella endobia]
15	ref|ATW22106.1|ref|ATW22106.1|	co-chaperone GroES [Candidatus Hamiltonella defensa]
15	ref|CUX97425.1|ref|CUX97425.1|	10 kDa chaperonin [Candidatus Hoaglandella endobia]
15	ref|WP_067569647.1|ref|WP_067569647.1|	co-chaperone GroES [Candidatus Mikella endobia]
15	ref|AEI75043.1|ref|AEI75043.1|	putative co-chaperonin GroES [Candidatus Moranella endobia PCIT]
15	ref|AGJ61291.1|ref|AGJ61291.1|	10 kDa chaperonin [Candidatus Moranella endobia PCVAL]
15	ref|AHF73228.1|ref|AHF73228.1|	Heat shock protein 60 family co-chaperone GroES [Candidatus Sodalis pierantonius str. SOPE]
15	ref|AHF73425.1|ref|AHF73425.1|	Heat shock protein 60 family co-chaperone GroES [Candidatus Sodalis pierantonius str. SOPE]
15	ref|BBI92241.1|ref|BBI92241.1|	10 kDa chaperonin [Serratia symbiotica]
15	ref|KYP96344.1|ref|KYP96344.1|	molecular chaperone GroES [Sodalis-like endosymbiont of Proechinophthirus fluctus]
15	ref|SNC58866.1|ref|SNC58866.1|	10 kDa chaperonin [Sodalis endosymbiont of Henestaris halophilus]
15	ref|SNC58864.1|ref|SNC58864.1|	10 kDa chaperonin [Sodalis endosymbiont of Henestaris halophilus]
15	ref|BAE73580.1|ref|BAE73580.1|	chaperonin GroES [Sodalis glossinidius str. morsitans]
15	fig|1173031.7.peg.2301|fig|1173031.7.peg.2301|	unlabeled protein [Sodalis melophagi]
15	ref|WP_025244364.1|ref|WP_025244364.1|	co-chaperone GroES [Sodalis praecaptivus]
